"","PLAYER","OWNER","POS.x","DFA","YRS","ACQ","KEEP","TEAM","FPTS","POS.y"
"447","MELVIN GORDON",NA,NA,NA,NA,NA,NA,"SD",164.8,"RB"
"448","MICHAEL BURTON",NA,NA,NA,NA,NA,NA,"DET",11.8,"RB"
"449","MICHAEL CAMPANARO",NA,NA,NA,NA,NA,NA,"BAL",18.5,"WR"
"450","MICHAEL CRABTREE","BRUCE","WR","F",2,1,8,"OAK",85.4,"WR"
"451","MICHAEL FLOYD","BRUCE","WR","D",2,1,4,"ARI",115.6,"WR"
"452","MICHAEL HOOMANAWANUI",NA,NA,NA,NA,NA,NA,"NE",5.6,"TE"
"453","MICKEY SHULER",NA,NA,NA,NA,NA,NA,"ATL",5.2,"TE"
"454","MIKE BROWN",NA,NA,NA,NA,NA,NA,"CAR",53.9,"WR"
"455","MIKE DAVIS",NA,NA,NA,NA,NA,NA,"SF",5.4,"RB"
"456","MIKE EVANS","PHILLY","WR","F",1,0,4,"TB",166.3,"WR"
"457","MIKE GLENNON",NA,NA,NA,NA,NA,NA,"TB",7.5,"QB"
"458","MIKE JAMES",NA,NA,NA,NA,NA,NA,"TB",3.6,"RB"
"459","MIKE KAFKA",NA,NA,NA,NA,NA,NA,"MIN",0,"QB"
"460","MIKE TOLBERT",NA,NA,NA,NA,NA,NA,"CAR",45.2,"RB"
"461","MIKE WALLACE","DEREK","WR","D",1,1,4,"MIN",121.3,"WR"
"462","MILES AUSTIN",NA,NA,NA,NA,NA,NA,"PHI",15,"WR"
"463","MOHAMED SANU","NICK","WR","F",1,0,4,"CIN",58,"WR"
"464","MONTEE BALL","DEREK","RB","D",2,18,21,"DEN",40.6,"RB"
"465","MYCHAL RIVERA",NA,NA,NA,NA,NA,NA,"OAK",59.3,"TE"
"466","MYCOLE PRUITT",NA,NA,NA,NA,NA,NA,"MIN",12.6,"TE"
"467","MYLES WHITE",NA,NA,NA,NA,NA,NA,"GB",3.5,"WR"
"468","NATE WASHINGTON",NA,NA,NA,NA,NA,NA,"HOU",68.7,"WR"
"469","NEAL STERLING",NA,NA,NA,NA,NA,NA,"JAC",5.1,"WR"
"470","NELSON AGHOLOR",NA,NA,NA,NA,NA,NA,"PHI",114.6,"WR"
"471","NIC JACOBS",NA,NA,NA,NA,NA,NA,"JAC",10.3,"TE"
"472","NICK BOYLE",NA,NA,NA,NA,NA,NA,"BAL",2.5,"TE"
"473","NICK FOLES",NA,NA,NA,NA,NA,NA,"STL",204.6,"QB"
"474","NICK O'LEARY",NA,NA,NA,NA,NA,NA,"BUF",2.3,"TE"
"475","NICK TOON",NA,NA,NA,NA,NA,NA,"NO",49.5,"WR"
"476","NIKITA WHITLOCK",NA,NA,NA,NA,NA,NA,"NYG",0.5,"RB"
"477","ODELL BECKHAM","MAKI","WR","F",1,1,4,"NYG",199.7,"WR"
"478","ORLEANS DARKWA",NA,NA,NA,NA,NA,NA,"NYG",5.1,"RB"
"479","ORSON CHARLES",NA,NA,NA,NA,NA,NA,"NO",4.3,"TE"
"480","OWEN DANIELS","EVAN","TE","F",1,0,4,"DEN",84.1,"TE"
"481","PATRICK DIMARCO",NA,NA,NA,NA,NA,NA,"ATL",16.4,"RB"
"482","PAUL RICHARDSON",NA,NA,NA,NA,NA,NA,"SEA",16.5,"WR"
"483","PERCY HARVIN","HANS","WR","D",2,13,15,"BUF",88.6,"WR"
"484","PEYTON MANNING","NICK","QB","D",2,47,54,"DEN",297.8,"QB"
"485","PHILIP RIVERS","FRED","QB","F",0,0,1,"SD",258,"QB"
"486","PHILLIP DORSETT",NA,NA,NA,NA,NA,NA,"IND",61.3,"WR"
"487","PHILLIP SUPERNAW",NA,NA,NA,NA,NA,NA,"TEN",7.2,"TE"
"488","PHILLY BROWN",NA,NA,NA,NA,NA,NA,"CAR",68.1,"WR"
"489","PIERRE GARCON",NA,NA,NA,NA,NA,NA,"WAS",106.1,"WR"
"490","PIERRE THOMAS","ERIC","RB","F",0,1,1,"",0,"RB"
"491","PRESTON PARKER",NA,NA,NA,NA,NA,NA,"NYG",16.6,"WR"
"492","QUINCY ENUNWA",NA,NA,NA,NA,NA,NA,"NYJ",7.8,"WR"
"493","QUINTON PATTON",NA,NA,NA,NA,NA,NA,"SF",30.8,"WR"
"494","RANDALL COBB","FRED","WR","D",2,131,151,"GB",187.4,"WR"
"495","RASHAD GREENE",NA,NA,NA,NA,NA,NA,"JAC",15.7,"WR"
"496","RASHAD JENNINGS","NICK","RB","D",1,4,5,"NYG",137.6,"RB"
"497","RASHAD ROSS",NA,NA,NA,NA,NA,NA,"WAS",8.9,"WR"
"498","RAY AGNEW",NA,NA,NA,NA,NA,NA,"DAL",5.1,"RB"
"499","RAY RICE",NA,NA,NA,NA,NA,NA,"",60.6,"RB"
"500","REGGIE BUSH","ERIC","RB","F",0,1,1,"SF",81.1,"RB"
"501","REGGIE WAYNE","WILL","WR","D",1,18,19,"NE",52.5,"WR"
"502","REX BURKHEAD",NA,NA,NA,NA,NA,NA,"CIN",8.3,"RB"
"503","RHETT ELLISON",NA,NA,NA,NA,NA,NA,"MIN",13.8,"TE"
"504","RICARDO LOCKETTE",NA,NA,NA,NA,NA,NA,"SEA",20.8,"WR"
"505","RICHARD GORDON",NA,NA,NA,NA,NA,NA,"KC",2,"TE"
"506","RICHARD RODGERS",NA,NA,NA,NA,NA,NA,"GB",68.6,"TE"
"507","RICHIE BROCKEL",NA,NA,NA,NA,NA,NA,"CAR",-0.1,"TE"
"508","RICKY STANZI",NA,NA,NA,NA,NA,NA,"NYG",0,"QB"
"509","RILEY COOPER",NA,NA,NA,NA,NA,NA,"PHI",49.4,"WR"
"510","RISHARD MATTHEWS",NA,NA,NA,NA,NA,NA,"MIA",17.4,"WR"
"511","ROB GRONKOWSKI","FRED","TE","D",2,35,40,"NE",165.7,"TE"
"512","ROB HOUSLER",NA,NA,NA,NA,NA,NA,"CLE",43.7,"TE"
"513","ROBERT GRIFFIN","PHILLY","QB","F",1,2,4,"WAS",204.4,"QB"
"514","ROBERT HERRON",NA,NA,NA,NA,NA,NA,"TB",7,"WR"
"515","ROBERT HUGHES",NA,NA,NA,NA,NA,NA,"ARI",12.8,"RB"
"516","ROBERT TURBIN","JUSTIN","RB","F",0,3,4,"SEA",50.9,"RB"
"517","ROBERT WOODS",NA,NA,NA,NA,NA,NA,"BUF",65.6,"WR"
"518","ROD STREATER",NA,NA,NA,NA,NA,NA,"OAK",51.2,"WR"
"519","RODDY WHITE","FRED","WR","F",0,1,1,"ATL",118.4,"WR"
"520","RODNEY SMITH",NA,NA,NA,NA,NA,NA,"",5,"WR"
"521","RONNIE BROWN",NA,NA,NA,NA,NA,NA,"",4.8,"RB"
"522","RONNIE HILLMAN","NICK","RB","F",1,10,12,"DEN",66.6,"RB"
"523","ROY HELU",NA,NA,NA,NA,NA,NA,"OAK",74,"RB"
"524","RUEBEN RANDLE","BRUCE","WR","D",1,22,23,"NYG",95.6,"WR"
"525","RUSSELL SHEPARD",NA,NA,NA,NA,NA,NA,"TB",3.4,"WR"
