playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Dri Archer,RB,BUF,RB,BUF,null,0.0092,null,null,null,140,null,null,0.0069,null,null,null,0.0172,0,null,null
Alfred Blue,RB,HOU,RB,HOU,null,4.2835,null,null,null,65,null,null,0.0633,null,null,null,7.7695,0.7404,5.1718,null
Jeremy Hill,RB,CIN,RB,CIN,null,10.3529,null,null,null,28,null,null,0.1051,null,null,null,13.4436,6.94,4.5976,null
Zach Mettenberger,QB,PIT,QB,PIT,null,0.0452,null,null,null,68,null,null,0.0353,null,null,null,0.0846,0,3.6765,null
Donte Moncrief,WR,IND,WR,IND,null,14.7596,null,null,null,25,null,null,0.1101,null,null,null,16.4396,8.9496,6.1138,null
Walt Powell,WR,BUF,WR,BUF,null,0.1168,null,null,null,188,null,null,0.0311,null,null,null,0.293,-0.01,3.3761,null
Troy Niklas,TE,ARI,TE,ARI,null,0.6885,null,null,null,85,null,null,0.1145,null,null,null,0.8357,0.41,3.6777,null
DeAnthony Thomas,WR,KC,WR,KC,null,1.2753,null,null,null,142,null,null,0.0105,null,null,null,2.2756,0.48,4.4625,null
Tom Savage,QB,HOU,QB,HOU,null,0.3598,null,null,null,52,null,null,0.0356,null,null,null,0.7828,-0.02,4.7191,null
Devin Street,WR,FA,WR,FA,null,0.5481,null,null,null,170,null,null,0.026,null,null,null,0.8101,0,3.731,null
Bruce Ellington,WR,SF,WR,SF,null,4.9643,null,null,null,95,null,null,0.2981,null,null,null,8.5626,0,16.092,null
Tyler Gaffney,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Terrance West,RB,BAL,RB,BAL,null,6.8923,null,null,null,49,null,null,0.3586,null,null,null,7.6288,4.197,4.9804,null
Bishop Sankey,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Austin Seferian-Jenkins,TE,TB,TE,TB,null,5.6162,null,null,null,30,null,null,0.1075,null,null,null,6.9679,2.5,5.4531,null
Kevin Norwood,WR,CAR,WR,CAR,null,0.2708,null,null,null,182,null,null,0.0823,null,null,null,0.4671,0,3.6672,null
Marion Grice,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jay Prosch,RB,HOU,RB,HOU,null,0.2837,null,null,null,130,null,null,0.0695,null,null,null,0.417,0.11,null,null
Lorenzo Taliaferro,RB,BAL,RB,BAL,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Arthur Lynch,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jerick McKinnon,RB,MIN,RB,MIN,null,6.2387,null,null,null,54,null,null,0.2668,null,null,null,7.5995,5,null,null
C.J. Fiedorowicz,TE,HOU,TE,HOU,null,2.8277,null,null,null,55,null,null,0.1202,null,null,null,3.642,1.69,5.971,null
Carlos Hyde,RB,SF,RB,SF,null,11.3042,null,null,null,26,null,null,0.8233,null,null,null,13.1082,8.17,null,null
Josh Huff,WR,PHI,WR,PHI,null,4.495,null,null,null,98,null,null,0.1998,null,null,null,5.5602,3.09,7.2775,null
Jeff Janis,WR,GB,WR,GB,null,2.5638,null,null,null,123,null,null,0.0242,null,null,null,5.8874,0,8.5156,null
David Fales,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Ryan Grant,WR,WAS,WR,WAS,null,4.2608,null,null,null,101,null,null,0.0657,null,null,null,6.714,1.12,7.4723,null
Shaq Evans,WR,JAC,WR,JAC,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Logan Thomas,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Charles Sims,RB,TB,RB,TB,null,9.8934,null,null,null,33,null,null,0.1992,null,null,null,10.9763,7.4,3.8958,null
James White,RB,NE,RB,NE,null,11.4288,null,null,null,25,null,null,0.4722,null,null,null,13.2459,8.92,4.4062,null
Jared Abbrederis,WR,GB,WR,GB,null,4.1539,null,null,null,104,null,null,0.2476,null,null,null,6.8285,1.73,5.8487,null
Robert Herron,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Keith Wenning,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Matt Hazel,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Crockett Gillmore,TE,BAL,TE,BAL,null,6.5867,null,null,null,26,null,null,0.0832,null,null,null,8.6172,4.0238,4.4174,null
Jimmy Garoppolo,QB,NE,QB,NE,null,16.8763,null,null,null,20,null,null,0.61,null,null,null,19.2222,13.1,7.4969,null
Quincy Enunwa,WR,NYJ,WR,NYJ,null,5.586,null,null,null,88,null,null,0.0993,null,null,null,7.5794,3.33,7.4527,null
T.J. Jones,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
John Brown,WR,ARI,WR,ARI,null,11.2127,null,null,null,40,null,null,0.1845,null,null,null,13.4252,7.4491,7.7606,null
Garrett Gilbert,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
James Wright,WR,CIN,WR,CIN,null,0.6014,null,null,null,165,null,null,0.011,null,null,null,1.1794,0,4.2202,null
Michael Campanaro,WR,BAL,WR,BAL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Isaiah Burse,WR,SD,WR,SD,null,0.1388,null,null,null,187,null,null,0.0308,null,null,null,0.2928,0,3.2314,null
Jeremy Butler,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Isaiah Crowell,RB,CLE,RB,CLE,null,8.9503,null,null,null,41,null,null,0.29,null,null,null,10.4383,7.2119,5.3632,null
Bennie Fowler,WR,DEN,WR,DEN,null,1.2636,null,null,null,144,null,null,0.061,null,null,null,2.1796,0,6.2955,null
Ryan Hewitt,TE,CIN,TE,CIN,null,3.2498,null,null,null,49,null,null,0.0742,null,null,null,5.4679,0.4,null,null
Jonathan Krause,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Freddie Martino,WR,ATL,WR,ATL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Rajion Neal,RB,CLE,RB,CLE,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Roosevelt Nix,RB,PIT,RB,PIT,null,0.0786,null,null,null,138,null,null,0.0515,null,null,null,0.1332,0,null,null
Justin Perillo,TE,GB,TE,GB,null,0.778,null,null,null,81,null,null,0.0257,null,null,null,0.876,0.68,null,null
Bryn Renner,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Connor Shaw,QB,CLE,QB,CLE,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Willie Snead,WR,NO,WR,NO,null,13.3757,null,null,null,31,null,null,0.6447,null,null,null,17.4423,9.97,6.5767,null
Juwan Thompson,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Charcandrick West,RB,KC,RB,KC,null,9.1243,null,null,null,37,null,null,0.0864,null,null,null,11.1614,5.9305,null,null
Nikita Whitlock,RB,NYG,RB,NYG,null,0.0903,null,null,null,135,null,null,0.0051,null,null,null,0.1557,0,null,null
James Wilder,RB,CIN,RB,CIN,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Albert Wilson,WR,KC,WR,KC,null,6.8409,null,null,null,73,null,null,0.2739,null,null,null,9.6858,4.83,6.4538,null
Blake Annen,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Trey Burton,TE,PHI,TE,PHI,null,1.6603,null,null,null,69,null,null,0.3225,null,null,null,2.5921,0,null,null
Richard Rodgers,TE,GB,TE,GB,null,5.2808,null,null,null,33,null,null,0.4294,null,null,null,7.115,3.05,4.7133,null
Brandon Coleman,WR,NO,WR,NO,null,3.2094,null,null,null,117,null,null,0.1587,null,null,null,5.6654,0.51,5.9173,null
Kain Colter,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Allen Hurns,WR,JAC,WR,JAC,null,10.9695,null,null,null,42,null,null,0.1621,null,null,null,11.9171,9.611,4.1918,null
Nic Jacobs,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Marcel Jensen,TE,WAS,TE,WAS,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Seantavius Jones,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Stephen Morris,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Erik Swoope,TE,IND,TE,IND,null,0.5358,null,null,null,88,null,null,0.0563,null,null,null,0.7331,0.36,null,null
Dustin Vaughan,QB,DAL,QB,DAL,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Corey Washington,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Tony Washington,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Asante Cleveland,TE,FA,TE,FA,null,0.2527,null,null,null,102,null,null,0.0169,null,null,null,0.3872,0,null,null
Javontee Herndon,WR,SD,WR,SD,null,0.8575,null,null,null,153,null,null,0.0186,null,null,null,1.479,0,5.2203,null
Antonio Andrews,RB,TEN,RB,TEN,null,1.8093,null,null,null,93,null,null,0.0737,null,null,null,3.2316,0.1,9.7015,null
Orleans Darkwa,RB,NYG,RB,NYG,null,2.0641,null,null,null,88,null,null,0.0138,null,null,null,2.9654,0.1831,4.5976,null
Gator Hoskins,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Damien Williams,RB,MIA,RB,MIA,null,2.3347,null,null,null,82,null,null,0.0167,null,null,null,3.9425,0,7.0858,null
Xavier Grimble,TE,PIT,TE,PIT,null,1.0299,null,null,null,77,null,null,0.1602,null,null,null,1.1313,0.89,13.3687,null
Silas Redd,RB,WAS,RB,WAS,null,0.8321,null,null,null,116,null,null,0.0939,null,null,null,1.3252,0,null,null
George Atkinson,RB,CLE,RB,CLE,null,0.2978,null,null,null,129,null,null,0.0418,null,null,null,0.7328,0,null,null
Kapri Bibbs,RB,DEN,RB,DEN,null,1.0129,null,null,null,110,null,null,0.0589,null,null,null,1.5504,0.24,null,null
Philly Brown,WR,CAR,WR,CAR,null,3.7914,null,null,null,106,null,null,0.058,null,null,null,4.7852,1.2645,4.959,null
Darrin Reaves,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Seth Roberts,WR,OAK,WR,OAK,null,6.2621,null,null,null,78,null,null,0.0993,null,null,null,7.1512,4.3031,5.4105,null
RaShaun Allen,TE,SEA,TE,SEA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Taylor Gabriel,WR,ATL,WR,ATL,null,0.8335,null,null,null,155,null,null,0.0752,null,null,null,1.6495,0,4.7833,null
Senorise Perry,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Cameron Brate,TE,TB,TE,TB,null,6.1412,null,null,null,29,null,null,0.5638,null,null,null,6.7107,4.6612,4.4174,null
Branden Oliver,RB,SD,RB,SD,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Kevin Smith,WR,SEA,WR,SEA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Fitzgerald Toussaint,RB,PIT,RB,PIT,null,4.7769,null,null,null,62,null,null,0.1605,null,null,null,7.1013,2.6925,6.1288,null
Josh Harris,RB,PIT,RB,PIT,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Glenn Winston,RB,CLE,RB,CLE,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jerome Cunningham,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jameis Winston,QB,TB,QB,TB,null,17.9888,null,null,null,15,null,null,0.283,null,null,null,18.9918,14.8,6.1163,null
Bryce Petty,QB,NYJ,QB,NYJ,null,0.009,null,null,null,70,null,null,0.0037,null,null,null,0.0135,0,3.5603,null
Garrett Grayson,QB,FA,QB,FA,null,0,null,null,null,76,null,null,0,null,null,null,0,0,3.5387,null
Ameer Abdullah,RB,DET,RB,DET,null,9.4472,null,null,null,36,null,null,0.3652,null,null,null,10.5577,7.25,4.2786,null
Cameron Artis-Payne,RB,CAR,RB,CAR,null,2.1104,null,null,null,87,null,null,0.0496,null,null,null,3.2277,0.4159,null,null
David Cobb,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jeremy Langford,RB,CHI,RB,CHI,null,12.1819,null,null,null,19,null,null,0.2454,null,null,null,14.6776,9.4305,4.789,null
Karlos Williams,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Malcolm Brown,RB,LA,RB,LA,null,1.5055,null,null,null,99,null,null,0.0546,null,null,null,2.1184,0.74,5.5546,null
Terrence Magee,RB,BAL,RB,BAL,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Ben Koyack,TE,JAC,TE,JAC,null,0.4261,null,null,null,91,null,null,0.0118,null,null,null,0.7942,0,null,null
Clive Walford,TE,OAK,TE,OAK,null,8.0688,null,null,null,18,null,null,0.4946,null,null,null,10.0407,4.5,4.2695,null
Jeff Heuerman,TE,DEN,TE,DEN,null,2.9159,null,null,null,53,null,null,0.0833,null,null,null,3.7211,1.56,null,null
MyCole Pruitt,TE,MIN,TE,MIN,null,2.4128,null,null,null,60,null,null,0.1221,null,null,null,2.4568,1.5,null,null
Nick Boyle,TE,BAL,TE,BAL,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Nick OLeary,TE,BUF,TE,BUF,null,0.4186,null,null,null,92,null,null,0.0086,null,null,null,0.6288,0.03,null,null
Darren Waller,WR,BAL,WR,BAL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
DeVante Parker,WR,MIA,WR,MIA,null,8.829,null,null,null,56,null,null,0.0916,null,null,null,8.6255,8.21,3.3885,null
Dezmin Lewis,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Dres Anderson,WR,SF,WR,SF,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Jamison Crowder,WR,WAS,WR,WAS,null,6.8936,null,null,null,72,null,null,0.1847,null,null,null,9.6256,2.4777,6.8594,null
Justin Hardy,WR,ATL,WR,ATL,null,6.1048,null,null,null,81,null,null,0.2004,null,null,null,8.6381,3,7.0452,null
Keith Mumphery,WR,HOU,WR,HOU,null,0.9781,null,null,null,151,null,null,0.1046,null,null,null,1.348,0.46,3.3154,null
Kenny Bell,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Phillip Dorsett,WR,IND,WR,IND,null,9.5149,null,null,null,51,null,null,0.153,null,null,null,11.0743,7.6156,5.5477,null
Rashad Greene,WR,JAC,WR,JAC,null,4.6822,null,null,null,96,null,null,0.1096,null,null,null,6.8777,2.34,5.9781,null
Tre McBride,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Ty Montgomery,WR,GB,WR,GB,null,3.5141,null,null,null,113,null,null,0.152,null,null,null,5.7008,1.849,5.7217,null
Tyler Lockett,WR,SEA,WR,SEA,null,12.6172,null,null,null,33,null,null,0.1764,null,null,null,14.4703,7.9575,6.2108,null
Vince Mayle,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Tevin Coleman,RB,ATL,RB,ATL,null,6.286,null,null,null,52,null,null,0.0341,null,null,null,7.4019,3.9606,4.5338,null
Devin Funchess,WR,CAR,WR,CAR,null,8.7171,null,null,null,58,null,null,0.2214,null,null,null,11.3121,6.34,6.4084,null
Duke Johnson,RB,CLE,RB,CLE,null,12.5106,null,null,null,18,null,null,0.3304,null,null,null,15.9194,7.7119,3.832,null
Gerald Christian,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jaelen Strong,WR,HOU,WR,HOU,null,5.2147,null,null,null,92,null,null,0.2103,null,null,null,6.2086,2.81,6.2085,null
Jalston Fowler,RB,TEN,RB,TEN,null,1.2428,null,null,null,105,null,null,0.0766,null,null,null,1.5859,0.3462,null,null
Marcus Mariota,QB,TEN,QB,TEN,null,15.9782,null,null,null,22,null,null,0.4532,null,null,null,16.8483,13.24,6.2136,null
Maxx Williams,TE,BAL,TE,BAL,null,3.9356,null,null,null,44,null,null,0.2178,null,null,null,5.0041,2.8,null,null
Melvin Gordon,RB,SD,RB,SD,null,10.2682,null,null,null,29,null,null,0.0883,null,null,null,11.1422,8.5155,4.0872,null
Sammie Coates,WR,PIT,WR,PIT,null,6.2146,null,null,null,79,null,null,0.1067,null,null,null,8.9302,1.61,7.302,null
T.J. Yeldon,RB,JAC,RB,JAC,null,8.1517,null,null,null,44,null,null,0.1703,null,null,null,10.4749,4.0738,4.4062,null
Todd Gurley,RB,LA,RB,LA,null,18.6365,null,null,null,1,null,null,0.1943,null,null,null,19.7625,17.15,3.832,null
Kenny Hilliard,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Aaron Ripkowski,RB,GB,RB,GB,null,0.8337,null,null,null,115,null,null,0.0238,null,null,null,1.3639,0.02,4.0872,null
Blake Bell,TE,SF,TE,SF,null,3.849,null,null,null,45,null,null,0.3621,null,null,null,5.9791,2.03,4.7133,null
DaRon Brown,WR,KC,WR,KC,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Amari Cooper,WR,OAK,WR,OAK,null,18.5574,null,null,null,5,null,null,0.793,null,null,null,21.2398,15.73,5.401,null
Dorial Green-Beckham,WR,PHI,WR,PHI,null,6.5769,null,null,null,74,null,null,0.0486,null,null,null,8.6785,4.5,6.6062,null
C.J. Uzomah,TE,CIN,TE,CIN,null,2.3433,null,null,null,61,null,null,0.148,null,null,null,3.7983,0.22,5.4531,null
Sean Mannion,QB,LA,QB,LA,null,0.2706,null,null,null,55,null,null,0.0101,null,null,null,0.3262,0.156,3.7483,null
Tyler Varga,RB,IND,RB,IND,null,0.85,null,null,null,114,null,null,0.0171,null,null,null,0.85,0.85,null,null
A.J. Derby,TE,NE,TE,NE,null,1.0507,null,null,null,75,null,null,0.0182,null,null,null,1.3643,0.3799,null,null
Jay Ajayi,RB,MIA,RB,MIA,null,4.9697,null,null,null,59,null,null,0.0932,null,null,null,5.3749,4.4,null,null
Tyler Kroft,TE,CIN,TE,CIN,null,6.814,null,null,null,25,null,null,0.2509,null,null,null,7.8692,3.4636,null,null
Brett Hundley,QB,GB,QB,GB,null,0.1127,null,null,null,65,null,null,0.0262,null,null,null,0.2477,0.008,3.8467,null
Breshad Perriman,WR,BAL,WR,BAL,null,3.7849,null,null,null,107,null,null,0.1046,null,null,null,5.445,1.56,6.591,null
Nelson Agholor,WR,PHI,WR,PHI,null,6.3536,null,null,null,77,null,null,0.1152,null,null,null,7.5729,4.24,5.2743,null
Stefon Diggs,WR,MIN,WR,MIN,null,12.1447,null,null,null,38,null,null,0.9311,null,null,null,14.5102,8.4354,5.8993,null
Duron Carter,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
DeAndre Smelter,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Javorius Allen,RB,BAL,RB,BAL,null,8.9584,null,null,null,40,null,null,0.0746,null,null,null,15.1372,4.99,5.2994,null
Jesse James,TE,PIT,TE,PIT,null,8.3942,null,null,null,17,null,null,0.5063,null,null,null,10.0905,6.5261,4.2695,null
Joey Iosefa,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt Jones,RB,WAS,RB,WAS,null,9.8262,null,null,null,34,null,null,0.3215,null,null,null,11.9367,6.3036,null,null
Michael Burton,RB,DET,RB,DET,null,1.735,null,null,null,95,null,null,0.0908,null,null,null,2.735,0.5238,null,null
Marcus Murphy,RB,NO,RB,NO,null,0.1995,null,null,null,133,null,null,0.0641,null,null,null,0.4184,0,null,null
Mario Alford,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Kaelin Clay,WR,BAL,WR,BAL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Chris Conley,WR,KC,WR,KC,null,6.111,null,null,null,80,null,null,0.0901,null,null,null,7.322,4.6857,5.9138,null
Geremy Davis,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
J.J. Nelson,WR,ARI,WR,ARI,null,4.2662,null,null,null,100,null,null,0.0261,null,null,null,6.268,1.9,5.6808,null
DeAndrew White,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Randall Telfer,TE,CLE,TE,CLE,null,0.7354,null,null,null,83,null,null,0.032,null,null,null,1.3564,0,null,null
Jarryd Hayne,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Evan Spencer,WR,TB,WR,TB,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Kennard Backman,TE,GB,TE,GB,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
James OShaughnessy,TE,KC,TE,KC,null,2.0302,null,null,null,65,null,null,0.0952,null,null,null,3.5629,0.39,3.3817,null
Kevin White,WR,CHI,WR,CHI,null,8.7578,null,null,null,57,null,null,0.1404,null,null,null,11.5976,4.05,8.3982,null
Devin Smith,WR,NYJ,WR,NYJ,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
David Johnson,RB,ARI,RB,ARI,null,18.329,null,null,null,3,null,null,1.2878,null,null,null,19.7353,15.84,2.3646,null
Mike Davis,RB,SF,RB,SF,null,3.4814,null,null,null,71,null,null,0.0569,null,null,null,5.9816,1.04,8.8722,null
Malcolm Johnson,RB,CLE,RB,CLE,null,0.2,null,null,null,132,null,null,0.01,null,null,null,0.2,0.2,null,null
Neal Sterling,WR,JAC,WR,JAC,null,0.0993,null,null,null,189,null,null,0.0398,null,null,null,0.1713,0,3.2132,null
Andre Debose,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Geoff Swaim,TE,DAL,TE,DAL,null,0.184,null,null,null,105,null,null,0.0261,null,null,null,0.4043,0,null,null
Trevor Siemian,QB,DEN,QB,DEN,null,10.7802,null,null,null,32,null,null,6.1812,null,null,null,12.7075,6.118,6.7581,null
Josh Robinson,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Rory Anderson,TE,SF,TE,SF,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Quan Bray,WR,IND,WR,IND,null,2.2382,null,null,null,128,null,null,0.1044,null,null,null,2.9276,1.2827,7.7237,null
Trey Williams,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
DeAndre Carter,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
John Crockett,RB,GB,RB,GB,null,0.08,null,null,null,137,null,null,0.0181,null,null,null,0.0654,0,null,null
Beau Gardner,TE,ATL,TE,ATL,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Antwan Goodley,WR,DAL,WR,DAL,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Alonzo Harris,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Jake Kumerow,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Khari Lee,TE,CHI,TE,CHI,null,2.15,null,null,null,64,null,null,0.1449,null,null,null,2.15,2.15,null,null
Cameron Meredith,WR,CHI,WR,CHI,null,0.521,null,null,null,172,null,null,0.0863,null,null,null,0.9852,0,4.028,null
Levi Norwood,WR,CHI,WR,CHI,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Jaxon Shipley,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Jameill Showers,QB,DAL,QB,DAL,null,0,null,null,null,76,null,null,0,null,null,null,0,0,null,null
Jordan Taylor,WR,DEN,WR,DEN,null,0.6932,null,null,null,160,null,null,0.0239,null,null,null,1.3024,-0.02,4.4227,null
Brandon Wegher,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Lucky Whitehead,WR,DAL,WR,DAL,null,1.6294,null,null,null,138,null,null,0.1267,null,null,null,1.8674,1.24,2.8315,null
Zach Zenner,RB,DET,RB,DET,null,3.2042,null,null,null,75,null,null,0.0882,null,null,null,5.0742,0.9305,5.108,null
Corey Grant,RB,JAC,RB,JAC,null,0.2998,null,null,null,128,null,null,0.0091,null,null,null,0.6397,0.0273,null,null
Chris Harper,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Chris Harper,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,2.9504,null
Josh Harper,WR,OAK,WR,OAK,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Gabe Holmes,TE,OAK,TE,OAK,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Akeem Hunt,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Gus Johnson,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
Matt LaCosse,TE,NYG,TE,NYG,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Jordan Leslie,WR,MIN,WR,MIN,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Wes Saxton,TE,FA,TE,FA,null,0.8,null,null,null,79,null,null,0.0143,null,null,null,0.8,0.8,null,null
Rasheed Bailey,WR,SD,WR,SD,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Devante Davis,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Rannell Hall,WR,CLE,WR,CLE,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Bradley Marquez,WR,LA,WR,LA,null,2.2962,null,null,null,127,null,null,0.0973,null,null,null,3.8134,0.89,5.2862,null
Raheem Mostert,RB,FA,RB,FA,null,0.1805,null,null,null,134,null,null,0.0903,null,null,null,0.3114,0,null,null
Tyler Murphy,WR,MIA,WR,MIA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
Thomas Rawls,RB,SEA,RB,SEA,null,6.991,null,null,null,48,null,null,0.1901,null,null,null,9.3359,3.9373,null,null
Eli Rogers,WR,PIT,WR,PIT,null,9.56,null,null,null,50,null,null,0.1142,null,null,null,12.9055,4.9393,8.4042,null
Rod Smith,RB,DAL,RB,DAL,null,0.0903,null,null,null,135,null,null,0.011,null,null,null,0.1557,0,null,null
Terron Ward,RB,ATL,RB,ATL,null,1.0531,null,null,null,109,null,null,0.0447,null,null,null,1.2902,0.7,null,null
Mitchell Henry,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Chandler Worthy,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
E.J. Bibbs,TE,FA,TE,FA,null,0,null,null,null,109,null,null,0,null,null,null,0,0,null,null
Michael Dyer,RB,FA,RB,FA,null,0,null,null,null,142,null,null,0,null,null,null,0,0,null,null
