playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
Aldrick Robinson,WR,ATL,WR,ATL,null,1.6683,null,null,null,137,null,null,0.0687,null,null,null,2.9262,0,4.9146,null
Anthony Sherman,RB,KC,RB,KC,null,0.5471,null,null,null,123,null,null,0.1131,null,null,null,0.9595,0,4.2148,null
Cecil Shorts,WR,TB,WR,TB,null,2.1081,null,null,null,130,null,null,0.0796,null,null,null,3.935,0,9.5723,null
Lee Smith,TE,OAK,TE,OAK,null,2.238,null,null,null,62,null,null,0.0866,null,null,null,3.7885,0.57,null,null
Julius Thomas,TE,JAC,TE,JAC,null,11.2725,null,null,null,10,null,null,0.1949,null,null,null,13.5422,7.8504,3.9736,null
Scott Tolzien,QB,IND,QB,IND,null,0.3569,null,null,null,53,null,null,0.0758,null,null,null,0.694,0.008,4.3269,null
Kyle Rudolph,TE,MIN,TE,MIN,null,7.1315,null,null,null,21,null,null,0.1169,null,null,null,7.7726,6.1332,4.1955,null
Blaine Gabbert,QB,SF,QB,SF,null,15.156,null,null,null,25,null,null,0.5043,null,null,null,16.9165,12.6834,5.6849,null
Ryan Mallett,QB,BAL,QB,BAL,null,0.2915,null,null,null,54,null,null,0.0227,null,null,null,0.5213,0.112,4.0082,null
Randall Cobb,WR,GB,WR,GB,null,14.6605,null,null,null,26,null,null,0.1266,null,null,null,17.1342,9.5247,6.0326,null
Tandon Doss,WR,FA,WR,FA,null,0,null,null,null,192,null,null,0,null,null,null,0,0,null,null
A.J. Green,WR,CIN,WR,CIN,null,16.9267,null,null,null,14,null,null,0.2803,null,null,null,19.0911,13.64,7.069,null
Andre Holmes,WR,OAK,WR,OAK,null,2.5527,null,null,null,124,null,null,0.1245,null,null,null,3.7251,1,4.8049,null
Julio Jones,WR,ATL,WR,ATL,null,22.8713,null,null,null,2,null,null,2.1499,null,null,null,24.5663,18.89,6.7046,null
Cam Newton,QB,CAR,QB,CAR,null,19.821,null,null,null,7,null,null,0.8212,null,null,null,22.0678,15.18,9.35,null
