"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Brock Osweiler",6300,"QB","Hou",14.087,"Chi@Hou","01:00PM",17.4589,18,"0.6361",18.7062,14.172,"7.7022"
"Bryan Walters",3000,"WR","Jax",6.8,"GB@Jax","01:00PM",1.987,132,"0.226",3.6478,0.22,"5.7615"
"Bryce Petty",5000,"QB","NYJ",0,"Cin@NYJ","01:00PM",0.009,70,"0.0037",0.0135,0,"3.5894"
"C.J. Fiedorowicz",2500,"TE","Hou",2.341,"Chi@Hou","01:00PM",2.8257,54,"0.1503",3.6371,1.69,"6.6816"
"C.J. Prosise",3900,"RB","Sea",0,"Mia@Sea","04:05PM",4.6382,62,"0.1974",6.1425,1.39,"4.6776"
"C.J. Spiller",3600,"RB","NO",6.238,"Oak@NO","01:00PM",5.8727,56,"0.6571",7.1732,4.4373,"4.5656"
"C.J. Uzomah",2500,"TE","Cin",0.233,"Cin@NYJ","01:00PM",2.3433,61,"0.1492",3.7983,0.22,"4.6637"
"Cameron Brate",2900,"TE","TB",4.986,"TB@Atl","01:00PM",6.1412,28,"0.5638",6.7107,4.6612,"4.3532"
"Cameron Marshall",3000,"RB","Sea",0,"Mia@Sea","04:05PM",0,142,"0",0,0,"null"
"Cameron Meredith",3000,"WR","Chi",2.091,"Chi@Hou","01:00PM",0.521,172,"0.0863",0.9852,0,"4.8211"
"Cardale Jones",5000,"QB","Buf",0,"Buf@Bal","01:00PM",0,76,"0.0027",0,0,"3.5681"
"Carson Palmer",7100,"QB","Ari",21.311,"NE@Ari","08:30PM",18.0951,14,"0.1884",18.8182,16.588,"5.9881"
"Carson Wentz",5000,"QB","Phi",0,"Cle@Phi","01:00PM",15.4642,24,"0.3774",18.0389,11.24,"8.2775"
"Cedric Peerman",3000,"RB","Cin",0,"Cin@NYJ","01:00PM",0.0451,139,"0.0383",0.0778,0,"null"
"Chad Henne",5000,"QB","Jax",0,"GB@Jax","01:00PM",1.1741,39,"0.1679",2.6519,0.066,"7.4024"
"Chandler Worthy",3000,"WR","NYJ",1.467,"Cin@NYJ","01:00PM",0,192,"0",0,0,"null"
"Charcandrick West",3500,"RB","KC",9.229,"SD@KC","01:00PM",9.1243,38,"0.0813",11.1614,5.9305,"null"
"Charles Clay",3400,"TE","Buf",9.6,"Buf@Bal","01:00PM",10.1826,12,"0.3338",12.1528,6.9486,"4.5085"
"Charles Johnson",3000,"WR","Min",1.973,"Min@Ten","01:00PM",5.2256,92,"0.222",7.4388,0.86,"7.3896"
"Charles Sims",4400,"RB","TB",11.375,"TB@Atl","01:00PM",9.8953,33,"0.2044",10.9763,7.4,"4.1175"
"Charone Peake",3000,"WR","NYJ",0,"Cin@NYJ","01:00PM",1.4355,140,"0.098",1.8895,0.6551,"6.6461"
"Chase Daniel",5000,"QB","Phi",-0.08,"Cle@Phi","01:00PM",0.4814,48,"0.0246",0.958,-0.01,"3.4617"
"Chris Conley",3700,"WR","KC",3.283,"SD@KC","01:00PM",6.1146,80,"0.0929",7.322,4.6957,"6.349"
"Chris Givens",3000,"WR","Phi",4.207,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.931"
"Chris Gragg",2500,"TE","Buf",2.077,"Buf@Bal","01:00PM",0,109,"0",0,0,"null"
"Chris Harper",3000,"WR","NE",0.12,"NE@Ari","08:30PM",0,192,"0",0,0,"null"
"Chris Harper",3000,"WR","NE",0.12,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
"Chris Harper",3000,"WR","NE",0.12,"NE@Ari","08:30PM",0,192,"0",0,0,"2.931"
"Chris Hogan",3600,"WR","NE",5.848,"NE@Ari","08:30PM",7.6192,68,"0.1939",9.7714,4.89,"6.1625"
"Chris Ivory",4300,"RB","Jax",14.247,"GB@Jax","01:00PM",7.7187,47,"0.777",9.558,3.42,"null"
"Chris Johnson",3700,"RB","Ari",11.018,"NE@Ari","08:30PM",4.2469,65,"0.2691",6.1913,2.82,"4.5096"
"Chris Matthews",3000,"WR","Bal",2.623,"Buf@Bal","01:00PM",0,192,"0",0,0,"null"
"Chris Moore",3000,"WR","Bal",0,"Buf@Bal","01:00PM",1.3977,141,"0.1261",2.2134,0.17,"4.4949"
"Chris Pantale",2500,"TE","Phi",0,"Cle@Phi","01:00PM",0,109,"0",0,0,"null"
"Christian Hackenberg",5000,"QB","NYJ",0,"Cin@NYJ","01:00PM",0.0061,71,"0.0017",0.0114,0,"3.5864"
"Christine Michael",3700,"RB","Sea",4.13,"Mia@Sea","04:05PM",11.7136,21,"0.0247",15.1899,3.561,"6.862"
"Clark Harris",2500,"TE","Cin",0,"Cin@NYJ","01:00PM",0,109,"0",0,0,"null"
"Clay Harbor",2500,"TE","NE",2.46,"NE@Ari","08:30PM",0.7693,82,"0.0412",1.1102,0,"null"
"Clive Walford",3000,"TE","Oak",4.931,"Oak@NO","01:00PM",8.0707,17,"0.4955",10.0407,4.5,"3.9652"
"Coby Fleener",4900,"TE","NO",7.694,"Oak@NO","01:00PM",11.0931,10,"0.4699",12.7822,7.7872,"3.81"
