"Name","Salary","Pos","Team","Avg","Game","Time","points","positionRank","dropoff","upper","lower","risk"
"Quincy Enunwa",3800,"WR","NYJ",4.458,"Cin@NYJ","01:00PM",5.5879,88,"0.0559",7.5794,3.34,"7.5386"
"R.J. Harris",3000,"WR","NO",0,"Oak@NO","01:00PM",0,192,"0",0,0,"null"
"Raheem Mostert",3000,"RB","Cle",-0.091,"Cle@Phi","01:00PM",0.1805,134,"0.0903",0.3114,0,"null"
"Rajion Neal",3000,"RB","Cle",0,"Cle@Phi","01:00PM",0,142,"0",0,0,"null"
"Randall Cobb",7600,"WR","GB",12.617,"GB@Jax","01:00PM",14.6608,26,"0.2713",17.1398,9.5247,"5.7789"
"Randall Telfer",2500,"TE","Cle",0,"Cle@Phi","01:00PM",0.7379,83,"0.033",1.3564,0,"null"
"Rannell Hall",3000,"WR","Cle",0,"Cle@Phi","01:00PM",0,192,"0",0,0,"null"
"Rashad Greene",3500,"WR","Jax",5.144,"GB@Jax","01:00PM",4.6822,96,"0.1096",6.8777,2.34,"5.9592"
"Rashad Jennings",5400,"RB","NYG",10.806,"NYG@Dal","04:25PM",11.6962,22,"0.0424",13.5304,8.2171,"5.0697"
"Rashard Higgins",3000,"WR","Cle",0,"Cle@Phi","01:00PM",3.0961,119,"0.0707",3.4627,1.1571,"7.0454"
"RaShaun Allen",2500,"TE","NO",0,"Oak@NO","01:00PM",0,109,"0",0,0,"null"
"Rasheed Bailey",3000,"WR","Jax",0,"GB@Jax","01:00PM",0,192,"0",0,0,"null"
"Reggie Bush",3500,"RB","Buf",1.74,"Buf@Bal","01:00PM",4.5963,63,"0.3303",5.0006,4.06,"6.3579"
"Rex Burkhead",3000,"RB","Cin",1.571,"Cin@NYJ","01:00PM",1.0794,108,"0.0464",1.4336,0.39,"null"
"Rhett Ellison",2500,"TE","Min",1.96,"Min@Ten","01:00PM",1.9825,66,"0.1182",2.8679,0.84,"null"
"Ricardo Louis",3000,"WR","Cle",0,"Cle@Phi","01:00PM",0.8442,154,"0.0466",1.3209,0.43,"3.9991"
"Richard Rodgers",3100,"TE","GB",9.761,"GB@Jax","01:00PM",5.2808,32,"0.4283",7.115,3.05,"4.6637"
"Rico Gathers",2500,"TE","Dal",0,"NYG@Dal","04:25PM",0,109,"null",0,0,"null"
"Rishard Matthews",3300,"WR","Ten",12.691,"Min@Ten","01:00PM",9.6491,51,"0.2024",13.3349,6.7203,"6.7052"
"Rob Gronkowski",7400,"TE","NE",19.371,"NE@Ari","08:30PM",2.6627,56,"0.0998",4.5927,0,"null"
"Rob Housler",2500,"TE","Chi",0.73,"Chi@Hou","01:00PM",0,109,"0",0,0,"null"
"Robby Anderson",3000,"WR","NYJ",0,"Cin@NYJ","01:00PM",2.3299,127,"0.0584",3.4292,0.0238,"9.71"
"Robert Hughes",3000,"RB","Cle",0,"Cle@Phi","01:00PM",0,142,"0",0,0,"null"
"Robert Turbin",3000,"RB","Ind",3.52,"Det@Ind","04:25PM",3.5497,69,"0.073",5.0362,1.57,"6.75"
"Robert Woods",4600,"WR","Buf",8.729,"Buf@Bal","01:00PM",7.7612,67,"0.2063",8.5872,5.4685,"5.5706"
"Rod Smith",3000,"RB","Dal",0.191,"NYG@Dal","04:25PM",0.0903,135,"0.011",0.1557,0,"null"
"Rod Streater",3000,"WR","KC",1.8,"SD@KC","01:00PM",4.0211,105,"0.2329",6.0591,0.72,"9.4814"
"Rodney Smith",3000,"WR","Dal",0,"NYG@Dal","04:25PM",0,192,"0",0,0,"2.931"
"Roger Lewis",3000,"WR","NYG",0,"NYG@Dal","04:25PM",0.578,169,"0.0423",1.1342,0,"4.1255"
"Rueben Randle",3300,"WR","Phi",11.731,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.4309"
"Russell Shepard",3000,"WR","TB",0.908,"TB@Atl","01:00PM",0.2568,182,"0.0683",0.315,0.19,"3.0561"
"Russell Wilson",7900,"QB","Sea",21.771,"Mia@Sea","04:05PM",22.0091,1,"0.6349",22.9494,20.86,"4.452"
"Ryan Fitzpatrick",6500,"QB","NYJ",19.075,"Cin@NYJ","01:00PM",17.0912,19,"0.8226",18.4671,14.63,"6.4257"
"Ryan Griffin",5000,"QB","TB",0,"TB@Atl","01:00PM",0,76,"0",0,0,"3.5681"
"Ryan Griffin",5000,"QB","TB",0,"TB@Atl","01:00PM",4.8067,34,"0.2305",5.6991,2.99,"4.1204"
"Ryan Griffin",2600,"TE","Hou",6.3,"Chi@Hou","01:00PM",0,76,"0",0,0,"3.5681"
"Ryan Griffin",2600,"TE","Hou",6.3,"Chi@Hou","01:00PM",4.8067,34,"0.2305",5.6991,2.99,"4.1204"
"Ryan Hewitt",2500,"TE","Cin",1.119,"Cin@NYJ","01:00PM",3.2498,48,"0.0733",5.4679,0.4,"null"
"Ryan Mallett",5000,"QB","Bal",9.618,"Buf@Bal","01:00PM",0.2915,54,"0.0227",0.5213,0.112,"4.0298"
"Ryan Mathews",5700,"RB","Phi",10.038,"Cle@Phi","01:00PM",12.1785,20,"0.4736",13.745,7.636,"3.5575"
"Ryan Nassib",5000,"QB","NYG",6.72,"NYG@Dal","04:25PM",0.2539,57,"0.0268",0.4173,0.024,"4.0082"
"Ryan Tannehill",5900,"QB","Mia",18.208,"Mia@Sea","04:05PM",14.2283,28,"1.0832",15.6715,12.38,"5.5118"
"Sam Bradford",6400,"QB","Phi",16.207,"Cle@Phi","01:00PM",5.7472,33,"2.298",12.3326,0,"15.754"
"Sammy Watkins",6900,"WR","Buf",17.985,"Buf@Bal","01:00PM",17.0907,12,"0.1028",20.4648,14.2722,"8.7285"
"Scott Tolzien",5000,"QB","Ind",-0.047,"Det@Ind","04:25PM",0.3569,53,"0.0758",0.694,0.008,"4.3432"
"Sean McGrath",2500,"TE","SD",0,"SD@KC","01:00PM",0.276,100,"0.0116",0.6065,0,"null"
"Sean Renfree",5000,"QB","Atl",-0.48,"TB@Atl","01:00PM",0,76,"0",0,0,"3.5681"
"Seantavius Jones",3000,"WR","KC",0,"SD@KC","01:00PM",0,192,"0",0,0,"2.931"
"Senorise Perry",3000,"RB","Chi",0,"Chi@Hou","01:00PM",0,142,"0",0,0,"null"
"Seth Roberts",3800,"WR","Oak",7.188,"Oak@NO","01:00PM",6.2621,79,"0.1524",7.1512,4.3031,"5.3665"
"Shane Vereen",3800,"RB","NYG",9.9,"NYG@Dal","04:25PM",10.0646,32,"0.2079",11.3321,7.9679,"4.2856"
"Shaq Evans",3000,"WR","Jax",0,"GB@Jax","01:00PM",0,192,"0",0,0,"null"
"Shaun Hill",5000,"QB","Min",0.033,"Min@Ten","01:00PM",12.5318,30,"1.6139",13.7643,11.32,"4.4839"
"Spencer Ware",4400,"RB","KC",7.577,"SD@KC","01:00PM",13.4155,15,"0.3388",15.5374,11.2307,"5.9099"
"Stefon Diggs",4800,"WR","Min",11.607,"Min@Ten","01:00PM",12.1463,38,"0.9963",14.5102,8.4354,"5.7385"
"Stepfan Taylor",3000,"RB","Ari",0.4,"NE@Ari","08:30PM",0.3774,126,"0.07",0.6183,0,"null"
"Stephen Anderson",2500,"TE","Hou",0,"Chi@Hou","01:00PM",0.276,100,"0.0294",0.6065,0,"null"
"Stephen Morris",5000,"QB","Ind",0,"Det@Ind","04:25PM",0,76,"0",0,0,"3.5681"
"Sterling Shepard",4900,"WR","NYG",0,"NYG@Dal","04:25PM",12.3951,36,"0.1484",14.8755,8.8467,"6.3999"
"Stevan Ridley",3000,"RB","Det",1.422,"Det@Ind","04:25PM",0,142,"0",0,0,"null"
"Storm Johnson",3000,"RB","TB",0,"TB@Atl","01:00PM",0,142,"0",0,0,"null"
"T.J. Graham",3000,"WR","Phi",1.6,"Cle@Phi","01:00PM",0,192,"0",0,0,"2.931"
"T.J. Yeldon",4100,"RB","Jax",13.492,"GB@Jax","01:00PM",8.1517,44,"0.1422",10.4749,4.0738,"4.4536"
"T.Y. Hilton",7500,"WR","Ind",13.588,"Det@Ind","04:25PM",17.0472,13,"0.2207",19.9849,13.51,"6.1993"
"Taiwan Jones",3000,"RB","Oak",2.5,"Oak@NO","01:00PM",1.9451,91,"0.0717",2.9737,0.5352,"6.806"
"Tajae Sharpe",3000,"WR","Ten",0,"Min@Ten","01:00PM",10.5556,46,"0.172",13.4125,7.2751,"6.7188"
"Tavarres King",3000,"WR","NYG",0,"NYG@Dal","04:25PM",0.7319,158,"0.0295",1.3845,0,"5.4376"
"Taylor Gabriel",3000,"WR","Cle",4.085,"Cle@Phi","01:00PM",0.8335,155,"0.0752",1.6495,0,"4.3938"
"Teddy Bridgewater",6000,"QB","Min",13.193,"Min@Ten","01:00PM",0,76,"0",0,0,"3.5681"
"Terrance West",4100,"RB","Bal",3.4,"Buf@Bal","01:00PM",6.8923,49,"0.3577",7.6288,4.197,"4.7337"
"Terrance Williams",3300,"WR","Dal",9.813,"NYG@Dal","04:25PM",9.1458,55,"0.3525",10.5855,7,"6.0658"
"Terrelle Pryor",3000,"WR","Cle",1.7,"Cle@Phi","01:00PM",3,121,"0.2878",3,3,"null"
"Terrelle Pryor",3000,"WR","Cle",1.7,"Cle@Phi","01:00PM",0.15,61,"0.014",0.15,0.15,"null"
"Terron Ward",3000,"RB","Atl",2.446,"TB@Atl","01:00PM",1.0531,109,"0.0447",1.2902,0.7,"null"
"Tevin Coleman",4200,"RB","Atl",4.05,"TB@Atl","01:00PM",6.286,52,"0.0331",7.4019,3.9606,"4.4536"
"Theo Riddick",4000,"RB","Det",11.25,"Det@Ind","04:25PM",11.6816,23,"0.1111",14.4961,7.61,"4.7337"
"Thomas Duarte",2500,"TE","Mia",0,"Mia@Sea","04:05PM",0,109,"0",0,0,"null"
"Thomas Rawls",6000,"RB","Sea",10.815,"Mia@Sea","04:05PM",6.991,48,"0.1892",9.3359,3.9373,"null"
"Tim Hightower",4300,"RB","NO",11.175,"Oak@NO","01:00PM",6.7114,50,"0.3894",11.4892,2.7404,"5.1257"
"Titus Davis",3000,"WR","NYJ",0,"Cin@NYJ","01:00PM",0,192,"0",0,0,"null"
"Tom Brady",7400,"QB","NE",23.504,"NE@Ari","08:30PM",0,76,"0",0,0,"3.5681"
"Tom Savage",5000,"QB","Hou",0,"Chi@Hou","01:00PM",0.3598,52,"0.0356",0.7828,-0.02,"4.7289"
"Tommy Bohanon",3000,"RB","NYJ",0.613,"Cin@NYJ","01:00PM",0,142,"0",0,0,"null"
"Tony Moeaki",2500,"TE","Chi",1.345,"Chi@Hou","01:00PM",0,109,"0",0,0,"null"
"Tony Romo",6800,"QB","Dal",12.915,"NYG@Dal","04:25PM",0,76,"0",0,0,"3.5681"
"Tony Washington",3000,"WR","Jax",0.2,"GB@Jax","01:00PM",0,192,"0",0,0,"null"
"Travaris Cadet",3000,"RB","NO",6.6,"Oak@NO","01:00PM",0.6889,118,"0.0225",1.1262,0,"null"
"Travis Benjamin",4100,"WR","SD",13.05,"SD@KC","01:00PM",8.4738,60,"0.1391",10.161,5.2621,"5.346"
"Travis Kelce",5000,"TE","KC",12.589,"SD@KC","01:00PM",14.3122,2,"0.5732",16.6484,11.78,"2.9563"
"Tre Madden",3000,"RB","Sea",0,"Mia@Sea","04:05PM",0,142,"0.2257",0,0,"null"
"Tre McBride",3000,"WR","Ten",1.371,"Min@Ten","01:00PM",0,192,"0",0,0,"null"
"Trevone Boykin",5000,"QB","Sea",0,"Mia@Sea","04:05PM",0.5986,45,"0.0014",1.1335,-0.024,"4.8674"
"Trevor Davis",3000,"WR","GB",0,"GB@Jax","01:00PM",1.0798,148,"0.0671",1.5879,0.52,"4.1474"
"Trey Burton",2500,"TE","Phi",0.525,"Cle@Phi","01:00PM",1.6603,70,"0.3225",2.5921,0,"null"
"Trey Williams",3000,"RB","Ind",0.6,"Det@Ind","04:25PM",0,142,"0",0,0,"null"
"Troy Niklas",2500,"TE","Ari",1.072,"NE@Ari","08:30PM",0.6914,85,"0.1173",0.8398,0.41,"2.9563"
"Ty Montgomery",3600,"WR","GB",7,"GB@Jax","01:00PM",3.5141,113,"0.152",5.7008,1.849,"6.9409"
"Tyler Boyd",3600,"WR","Cin",0,"Cin@NYJ","01:00PM",7.9582,65,"0.1268",9.8167,4.9876,"5.5436"
"Tyler Bray",5000,"QB","KC",0,"SD@KC","01:00PM",0,76,"0",0,0,"3.5681"
"Tyler Eifert",4700,"TE","Cin",14.664,"Cin@NYJ","01:00PM",0,109,"0",0,0,"null"
"Tyler Ervin",3000,"RB","Hou",0,"Chi@Hou","01:00PM",3.3613,73,"0.1598",4.1465,1.52,"5.9659"
"Tyler Gaffney",3000,"RB","NE",0,"NE@Ari","08:30PM",0,142,"0",0,0,"null"
"Tyler Kroft",2700,"TE","Cin",1.759,"Cin@NYJ","01:00PM",6.814,23,"0.3106",7.8692,3.4636,"null"
"Tyler Lockett",5000,"WR","Sea",10.578,"Mia@Sea","04:05PM",12.6139,33,"0.1713",14.4703,7.9575,"5.9601"
"Tyreek Hill",3000,"WR","KC",0,"SD@KC","01:00PM",1.2422,145,"0.0769",2.4376,0.02,"5.0123"
"Tyrell Williams",3000,"WR","SD",2.429,"SD@KC","01:00PM",5.0371,93,"0.0698",7.0582,0.7161,"7.171"
"Tyrod Taylor",6900,"QB","Buf",19.9,"Buf@Bal","01:00PM",18.9241,9,"0.031",22.0585,16.23,"7.3194"
"Victor Cruz",4000,"WR","NYG",0,"NYG@Dal","04:25PM",5.811,84,"0.0599",6.7367,3.8,"5.429"
"Vince Mayle",3000,"WR","Dal",0,"NYG@Dal","04:25PM",0,192,"0",0,0,"2.931"
"Vincent Jackson",4400,"WR","TB",11.03,"TB@Atl","01:00PM",11.0869,40,"0.0761",13.6089,7.04,"6.0868"
"Walt Powell",3000,"WR","Buf",0,"Buf@Bal","01:00PM",0.1168,188,"0.0311",0.293,-0.01,"3.3671"
"Wendell Smallwood",3000,"RB","Phi",0,"Cle@Phi","01:00PM",2.9706,79,"0.3669",4.7323,0.5779,"null"
"Wes Saxton",2500,"TE","NYJ",0,"Cin@NYJ","01:00PM",0.8,79,"0.0143",0.8,0.8,"null"
"Will Fuller",3700,"WR","Hou",0,"Chi@Hou","01:00PM",9.9888,49,"0.2904",12.5628,5.102,"9.2854"
"Will Johnson",3000,"RB","NYG",0.724,"NYG@Dal","04:25PM",0,142,"0",0,0,"null"
"Will Tye",3300,"TE","NYG",8.108,"NYG@Dal","04:25PM",6.928,22,"0.2513",8.8394,4.9,"4.5861"
"Willie Snead",4800,"WR","NO",12.693,"Oak@NO","01:00PM",13.3776,31,"0.6473",17.4423,9.97,"6.292"
"Zac Brooks",3000,"RB","Sea",0,"Mia@Sea","04:05PM",0,142,"0",0,0,"null"
"Zac Dysert",5000,"QB","Mia",0,"Mia@Sea","04:05PM",0,76,"0",0,0,"null"
"Zach Ertz",4300,"TE","Phi",11.82,"Cle@Phi","01:00PM",11.0639,11,"1.012",12.5626,8.9373,"3.4995"
"Zach Line",3000,"RB","Min",2.188,"Min@Ten","01:00PM",1.4704,101,"0.1234",2.3165,0.49,"5.5178"
"Zach Mettenberger",5000,"QB","SD",7.314,"SD@KC","01:00PM",0.0452,68,"0.0353",0.0846,0,"3.7036"
"Zach Miller",3700,"TE","Chi",7.393,"Chi@Hou","01:00PM",9.7766,14,"1.0361",10.8046,8.54,"3.7324"
"Zach Miller",3700,"TE","Chi",7.393,"Chi@Hou","01:00PM",0,109,"0",0,0,"null"
"Zach Sudfeld",2500,"TE","NYJ",0,"Cin@NYJ","01:00PM",0,109,"0",0,0,"null"
"Zach Zenner",3000,"RB","Det",1.517,"Det@Ind","04:25PM",3.2061,74,"0.0214",5.0742,0.9305,"4.7337"
