playerId,playername,DKNAME,OwnName,DKPOS,TEAM,FCName
2539208,Chris Pantale,Chris Pantale,Chris Pantale,,FA,
2533037,Chris Polk,Chris Polk,Chris Polk,,HOU,
2540011,Chris Thompson,Chris Thompson,Chris Thompson,RB,WAS,Chris Thompson
2555416,Christian Hackenberg,Christian Hackenberg,Christian Hackenberg,QB,NYJ,
2495215,Christian Ponder,Christian Ponder,Christian Ponder,QB,SF,
2539322,Christine Michael,Christine Michael,Christine Michael,RB,SEA,Christine Michael
2495620,Clark Harris,Clark Harris,Clark Harris,TE,CIN,
497242,Clay Harbor,Clay Harbor,Clay Harbor,TE,NE,
2552397,Clive Walford,Clive Walford,Clive Walford,TE,OAK,Clive Walford
2539203,Cobi Hamilton,Cobi Hamilton,Cobi Hamilton,,FA,
2532838,Coby Fleener,Coby Fleener,Coby Fleener,TE,NO,Coby Fleener
2555331,Cody Core,Cody Core,Cody Core,WR,CIN,
2555387,Cody Kessler,Cody Kessler,Cody Kessler,QB,CLE,
2543590,Cody Latimer,Cody Latimer,Cody Latimer,WR,DEN,Cody Latimer
2535698,Cole Beasley,Cole Beasley,Cole Beasley,WR,DAL,Cole Beasley
2556708,Cole Wick,Cole Wick,Cole Wick,TE,DET,
2495186,Colin Kaepernick,Colin Kaepernick,Colin Kaepernick,QB,SF,
497123,Colt McCoy,Colt McCoy,Colt McCoy,QB,WAS,
100014,Colts,Colts ,Colts,DST,IND,Colts
2555332,Connor Cook,Connor Cook,Connor Cook,QB,OAK,
2550252,Connor Shaw,Connor Shaw,Connor Shaw,,CLE,
2536071,Cooper Helfet,Cooper Helfet,Cooper Helfet,,FA,
2540145,Cordarrelle Patterson,Cordarrelle Patterson,Cordarrelle Patterson,WR,MIN,Cordarrelle Patterson
2555333,Corey Coleman,Corey Coleman,Corey Coleman,WR,CLE,Corey Coleman
2540261,Corey Fuller,Corey Fuller,Corey Fuller,,DET,
2553650,Corey Grant,Corey Grant,Corey Grant,RB,JAC,Corey Grant
2550413,Corey Washington,Corey Washington,Corey Washington,,FA,
2533353,Cory Harkey,Cory Harkey,Cory Harkey,TE,LA,
100008,Cowboys,Cowboys ,Cowboys,DST,DAL,Cowboys
1992,Craig Stevens,Craig Stevens,Craig Stevens,,FA,
2543794,Crockett Gillmore,Crockett Gillmore,Crockett Gillmore,TE,BAL,Crockett Gillmore
2532851,Cyrus Gray,Cyrus Gray,Cyrus Gray,,ATL,
2556528,D.J. Foster,D.J. Foster,D.J. Foster,RB,NE,
2555260,Dak Prescott,Dak Prescott,Dak Prescott,QB,DAL,Dak Prescott
2536031,Damaris Johnson,Damaris Johnson,Damaris Johnson,,FA,
2550512,Damien Williams,Damien Williams,Damien Williams,RB,MIA,Damien Williams
2532864,Dan Herron,Dan Herron,Dan Herron,,FA,
2506481,Dan Orlovsky,Dan Orlovsky,Dan Orlovsky,QB,DET,
2556144,Daniel Braverman,Daniel Braverman,Daniel Braverman,,FA,
2553900,Daniel Brown,Daniel Brown,Daniel Brown,,FA,
2506619,Daniel Fells,Daniel Fells,Daniel Fells,,NYG,
2555219,Daniel Lasco,Daniel Lasco,Daniel Lasco,RB,NO,
2495241,Daniel Thomas,Daniel Thomas,Daniel Thomas,,FA,
2649,Danny Amendola,Danny Amendola,Danny Amendola,WR,NE,Danny Amendola
4327,Danny Woodhead,Danny Woodhead,Danny Woodhead,RB,SD,Danny Woodhead
2556273,Darius Jackson,Darius Jackson,Darius Jackson,RB,DAL,
2553896,Darius Jennings,Darius Jennings,Darius Jennings,,FA,
2552479,DaRon Brown,DaRon Brown,DaRon Brown,,KC,
2507737,Darrel Young,Darrel Young,Darrel Young,,FA,
2540928,Darren Fells,Darren Fells,Darren Fells,TE,ARI,Darren Fells
284,Darren McFadden,Darren McFadden,Darren McFadden,,DAL,
2506467,Darren Sproles,Darren Sproles,Darren Sproles,RB,PHI,Darren Sproles
2552408,Darren Waller,Darren Waller,Darren Waller,,BAL,
2550596,Darrin Reaves,Darrin Reaves,Darrin Reaves,,FA,
